               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12488,             0.04749,            0.067653,           0.0032757,           0.0042857,           0.0020218,          0.00024946,             0.12399,            0.038837,            0.068884,             0.00012,             0.00012,             0.09892
                   1,             0.12197,            0.047656,            0.066302,           0.0014269,           0.0046753,          0.00062616,           0.0001526,             0.11952,            0.040333,            0.066491,          0.00024999,          0.00024999,             0.09775
                   2,             0.11655,            0.047989,            0.063832,           0.0026782,            0.037698,           0.0012442,          0.00027625,             0.11374,            0.043028,             0.06352,          0.00037996,          0.00037996,             0.09658
                   3,             0.11213,            0.053786,            0.061158,            0.010638,            0.041442,           0.0039334,           0.0008721,              0.1068,            0.046351,            0.060214,          0.00050989,          0.00050989,             0.09541
                   4,             0.10575,             0.05588,              0.0577,            0.030072,            0.039901,            0.017454,           0.0041317,            0.099261,            0.048745,            0.056526,          0.00063975,          0.00063975,             0.09424
                   5,            0.098321,            0.056385,            0.054425,            0.056721,            0.073259,            0.036819,            0.010042,            0.092165,            0.049686,            0.052752,          0.00076953,          0.00076953,             0.09307
                   6,            0.091786,            0.057672,            0.050654,             0.20026,            0.070459,             0.05516,            0.015046,            0.086358,            0.047548,            0.049343,           0.0008992,           0.0008992,            0.091899
                   7,            0.086211,            0.055363,            0.048001,             0.48711,             0.08862,            0.065784,            0.017257,            0.081623,             0.04536,            0.046429,           0.0010288,           0.0010288,            0.090729
                   8,            0.081359,            0.051928,            0.046164,             0.59893,            0.090531,             0.08165,            0.029957,            0.075671,            0.043661,            0.043966,           0.0011582,           0.0011582,            0.089558
                   9,            0.077131,            0.050812,            0.043096,             0.76254,            0.080256,            0.091266,            0.029719,            0.072712,            0.041389,            0.041934,           0.0012874,           0.0012874,            0.088387
                  10,            0.075376,            0.045172,            0.042577,             0.73322,             0.09173,             0.10863,            0.037334,            0.068928,            0.039382,            0.040013,           0.0014165,           0.0014165,            0.087216
                  11,            0.072702,            0.047328,             0.03939,             0.10128,             0.19857,             0.12117,            0.043889,            0.065254,            0.038285,            0.038404,           0.0015454,           0.0015454,            0.086045
